Date,close,signal,actual,market_return,strategy_return,market_value,strategy_value
2024-01-11,183.6818084716797,1,1,0.0,0.0,10000.0,10000.0
2024-01-12,184.00845336914062,1,0,0.0017783192586069418,0.0017783192586069418,10017.78319258607,10017.78319258607
2024-01-16,181.7419891357422,1,0,-0.012317174520518726,-0.012317174520518726,9894.392408694268,9894.392408694268
2024-01-17,180.80172729492188,1,1,-0.005173608175477962,-0.005173608175477962,9843.20269923726,9843.20269923726
2024-01-18,186.69058227539062,1,1,0.032570789386668464,0.032570789386668464,10163.803581244403,10163.803581244403
2024-01-19,189.59042358398438,1,1,0.015532874091721105,0.015532874091721105,10321.676662564858,10321.676662564858
2024-01-22,191.896484375,1,1,0.01216338223957858,0.01216338223957858,10447.223161164971,10447.223161164971
2024-01-23,193.17320251464844,1,0,0.0066531606548534405,0.0066531606548534405,10516.730215253307,10516.730215253307
2024-01-24,192.5001983642578,1,0,-0.0034839415696884535,-0.0034839415696884535,10480.090541679188,10480.090541679188
2024-01-25,192.17359924316406,1,0,-0.0016966170625744015,-0.0016966170625744015,10462.30984124885,10462.30984124885
2024-01-26,190.44158935546875,1,0,-0.009012735851940512,-0.009012735851940512,10368.015806248519,10368.015806248519
2024-01-29,189.75868225097656,1,0,-0.003585913700906551,-0.003585913700906551,10330.836996317676,10330.836996317676
2024-01-30,186.10662841796875,1,0,-0.019245779901536086,-0.019245779901536086,10132.0119812879,10132.0119812879
2024-01-31,182.50405883789062,1,1,-0.01935755652929927,-0.01935755652929927,9935.880986604583,9935.880986604583
2024-02-01,184.93875122070312,1,0,0.013340483484671983,0.013340483484671983,10068.430442812049,10068.430442812049
2024-02-02,183.9391632080078,1,1,-0.005404967893951063,-0.005404967893951063,10014.010899526169,10014.010899526169
2024-02-05,185.7503204345703,1,1,0.009846501391953977,0.009846501391953977,10112.613871787395,10112.613871787395
2024-02-06,187.35369873046875,1,1,0.008631900564948003,0.008631900564948003,10199.904949180378,10199.904949180378
2024-02-07,187.46255493164062,1,0,0.0005810197605358169,0.0005810197605358169,10205.831295511438,10205.831295511438
2024-02-08,186.3837432861328,0,1,-0.005754811385672243,-0.005754811385672243,10147.098661371778,10147.098661371778
2024-02-09,187.1468048095703,0,0,0.004094034758525433,0.0,10188.641235989622,10147.098661371778
2024-02-12,185.4621124267578,0,0,-0.00900198314647549,-0.0,10096.923259297759,10147.098661371778
2024-02-13,183.3711700439453,0,0,-0.011274229304587768,-0.0,9983.08823120161,10147.098661371778
2024-02-14,182.48919677734375,1,0,-0.004809770622013265,-0.0,9935.07186671021,10147.098661371778
2024-02-15,182.20181274414062,1,0,-0.0015748002527172789,-0.0015748002527172789,9919.42611302375,10131.119007835503
2024-02-16,180.66580200195312,1,0,-0.008430271461373762,-0.008430271461373762,9835.80265814992,10045.710924391966
